,Station,Start,End,Elevations,Key Volume
10,Station2,2025-02-12T21:52:50Z,2025-02-12T22:00:30Z,"(np.float64(20.914231881978687), np.float64(22.287740387468496), np.float64(23.738283052892307), np.float64(25.27346555642249), np.float64(26.901742913354557), np.float64(28.632495998539294), np.float64(30.4761008833303), np.float64(32.44398202801971), np.float64(34.54863598691634), np.float64(36.80360636816705), np.float64(39.22338313061451), np.float64(41.82318995205641), np.float64(44.61861301500524), np.float64(47.625014889344754), np.float64(50.85667179500815), np.float64(54.325577350459156), np.float64(58.03987910328934), np.float64(62.00196328296918), np.float64(66.20627565076879), np.float64(70.63701859580591), np.float64(75.2656862568349), np.float64(80.04675832610606), np.float64(84.8931388626143), np.float64(88.73985550020238), np.float64(84.82708786665408), np.float64(79.9843937980217), np.float64(75.21134698417009), np.float64(70.59339063617662), np.float64(66.17523761361673), np.float64(61.98468938385952), np.float64(58.03692847444657), np.float64(54.33700692997267), np.float64(50.88215815421052), np.float64(47.66396903376896), np.float64(44.67027840258313), np.float64(41.88672004718221), np.float64(39.297898962739566), np.float64(36.8882367644212), np.float64(34.64254393226621), np.float64(32.54638054730102), np.float64(30.58626137771846), np.float64(28.7497513793523), np.float64(27.02548730756628), np.float64(25.40315187360349), np.float64(23.87341932012735), np.float64(22.42788546957858), np.float64(21.05899099383928))",964768.2732142687
11,Station2,2025-02-12T23:36:40Z,2025-02-12T23:39:50Z,"(np.float64(20.394538310227894), np.float64(20.88836241211895), np.float64(21.342875958088566), np.float64(21.753522251746574), np.float64(22.115901143130593), np.float64(22.42589778430429), np.float64(22.679815511356786), np.float64(22.87450529891306), np.float64(23.007483416252608), np.float64(23.077028908457105), np.float64(23.082253457991673), np.float64(23.02313803123405), np.float64(22.900533297319562), np.float64(22.716123798573886), np.float64(22.472358845364088), np.float64(22.172355696613366), np.float64(21.819782444401838), np.float64(21.418728962578765), np.float64(20.973574284095363), np.float64(20.48885796379765))",94366.3420184806
12,Station3,2025-02-12T10:17:40Z,2025-02-12T10:21:50Z,"(np.float64(20.146868193628496), np.float64(20.808394952773035), np.float64(21.445667134843116), np.float64(22.053496893499332), np.float64(22.62639106827952), np.float64(23.158646312819375), np.float64(23.644472353472985), np.float64(24.07814180128088), np.float64(24.45416210271708), np.float64(24.767462116452897), np.float64(25.01358285678192), np.float64(25.18885966387958), np.float64(25.29058197027491), np.float64(25.31711734011501), np.float64(25.267988727571208), np.float64(25.143897767056806), np.float64(24.946691870532078), np.float64(24.67927821818402), np.float64(24.345492560974275), np.float64(23.94993438900519), np.float64(23.497782006938976), np.float64(22.994601287166137), np.float64(22.446160553107866), np.float64(21.858261615556444), np.float64(21.23659397483115), np.float64(20.5866161145384))",140457.05542521353
13,Station3,2025-02-12T11:57:20Z,2025-02-12T12:05:10Z,"(np.float64(20.061461569217364), np.float64(21.374490702794624), np.float64(22.75831866032255), np.float64(24.21975889651369), np.float64(25.766366712310298), np.float64(27.406503663258928), np.float64(29.149395074113265), np.float64(31.005172590231087), np.float64(32.98488958647055), np.float64(35.10049146720968), np.float64(37.36471488235014), np.float64(39.79087900697715), np.float64(42.392517510874214), np.float64(45.18278064362475), np.float64(48.17351109311844), np.float64(51.37386018918744), np.float64(54.7882487746221), np.float64(58.41334829691986), np.float64(62.23343893344428), np.float64(66.21261885200242), np.float64(70.27971570783433), np.float64(74.29356791766007), np.float64(77.95170844778126), np.float64(80.57101217084045), np.float64(81.02011187470139), np.float64(79.00908188793036), np.float64(75.59524382138353), np.float64(71.6488516416274), np.float64(67.57023947215808), np.float64(63.54092807919991), np.float64(59.65083317305234), np.float64(55.94600621383043), np.float64(52.44827099193522), np.float64(49.16479798540668), np.float64(46.09357826587487), np.float64(43.22690940587201), np.float64(40.5537366161969), np.float64(38.06124736172387), np.float64(35.73594660914635), np.float64(33.56436290820302), np.float64(31.533492726207598), np.float64(29.631061860522948), np.float64(27.84566166916341), np.float64(26.16680185751996), np.float64(24.584909472371876), np.float64(23.091294776397), np.float64(21.678098134317363), np.float64(20.338227362070864))",948715.8102497954
14,Station3,2025-02-12T13:39:40Z,2025-02-12T13:43:20Z,"(np.float64(20.4302314603472), np.float64(21.01713149484044), np.float64(21.56880073115221), np.float64(22.079779759016898), np.float64(22.544559458378313), np.float64(22.95772615688418), np.float64(23.314125864089327), np.float64(23.60904005522752), np.float64(23.838362904251788), np.float64(23.998767998223748), np.float64(24.087851856029683), np.float64(24.104242348287553), np.float64(24.047662463531847), np.float64(23.91894358293826), np.float64(23.71998701987012), np.float64(23.453677366022756), np.float64(23.123755433156944), np.float64(22.73466168034867), np.float64(22.29136261072468), np.float64(21.799172649700523), np.float64(21.263582694950134), np.float64(20.690104256926805), np.float64(20.084135361477838))",114974.84870273812
15,Station3,2025-02-12T20:14:30Z,2025-02-12T20:18:10Z,"(np.float64(20.17988506676111), np.float64(20.77018512695391), np.float64(21.326281971593865), np.float64(21.84280443615044), np.float64(22.314317391771162), np.float64(22.735461193620523), np.float64(23.101110347830303), np.float64(23.40654440512952), np.float64(23.647621559235386), np.float64(23.82094352367504), np.float64(23.923999421828), np.float64(23.95527698233735), np.float64(23.91433140454552), np.float64(23.801805687622323), np.float64(23.61940056449973), np.float64(23.36979681053378), np.float64(23.056536905709553), np.float64(22.68387621186514), np.float64(22.25661559762159), np.float64(21.779927703309635), np.float64(21.259187955024714), np.float64(20.699819372408577), np.float64(20.107157616979546))",113436.71006662167
16,Station3,2025-02-12T21:52:40Z,2025-02-12T22:00:20Z,"(np.float64(20.836023618217723), np.float64(22.202086609572387), np.float64(23.64391904253807), np.float64(25.168861068672197), np.float64(26.785035729419512), np.float64(28.50140628288802), np.float64(30.32782003076428), np.float64(32.27502730502361), np.float64(34.3546588211319), np.float64(36.57913701571316), np.float64(38.96148660283995), np.float64(41.51499559730176), np.float64(44.25265939201525), np.float64(47.186315303604026), np.float64(50.32533907987995), np.float64(53.674716540210454), np.float64(57.23218915328817), np.float64(60.983904333592264), np.float64(64.89729409159598), np.float64(68.90790549005783), np.float64(72.89102506537425), np.float64(76.59232151167247), np.float64(79.4655435459911), np.float64(80.53767100428311), np.float64(79.20894900025084), np.float64(76.2024761738274), np.float64(72.45493510705798), np.float64(68.4671566776719), np.float64(64.47216647374766), np.float64(60.584922103361), np.float64(56.864773088230095), np.float64(53.34127823730616), np.float64(50.026396920896445), np.float64(46.9211801662019), np.float64(44.01989289073844), np.float64(41.31272646039805), np.float64(38.78762907738284), np.float64(36.43153871860016), np.float64(34.23119749788559), np.float64(32.17367103586485), np.float64(30.24666180956926), np.float64(28.43868107112027), np.float64(26.739125875677107), np.float64(25.1382942883438), np.float64(23.62736188184542), np.float64(22.198335389050392), np.float64(20.84399418528829))",942215.8535164986
17,Station3,2025-02-12T23:35:50Z,2025-02-12T23:40:00Z,"(np.float64(20.361096642923123), np.float64(21.0322354413518), np.float64(21.678016245607793), np.float64(22.293057651942625), np.float64(22.87167888498775), np.float64(23.408004358009666), np.float64(23.896097483904466), np.float64(24.330121479468275), np.float64(24.70452181859334), np.float64(25.01422171301618), np.float64(25.254819003148395), np.float64(25.4227706888353), np.float64(25.515550562608563), np.float64(25.531766408809613), np.float64(25.471226092034303), np.float64(25.334946304399487), np.float64(25.125103154751358), np.float64(24.84492932419062), np.float64(24.498567311476663), np.float64(24.09089165099369), np.float64(23.627314527038017), np.float64(23.11358892198485), np.float64(22.555621633491217), np.float64(21.959305688828525), np.float64(21.330378440300887), np.float64(20.67430845112118))",143025.99880236562
18,Station4,2025-02-12T10:18:20Z,2025-02-12T10:21:50Z,"(np.float64(20.48183823074384), np.float64(21.031615638638904), np.float64(21.54630176643251), np.float64(22.02093052149628), np.float64(22.450539248312445), np.float64(22.830298386078777), np.float64(23.155654895589922), np.float64(23.42248273700793), np.float64(23.627231825187426), np.float64(23.767065669179747), np.float64(23.839977628476788), np.float64(23.844876589656607), np.float64(23.781634904853053), np.float64(23.65109444554812), np.float64(23.4550302264965), np.float64(23.196074735556394), np.float64(22.8776093393531), np.float64(22.503631490436128), np.float64(22.07860768426359), np.float64(21.60732216350216), np.float64(21.094730394880592), np.float64(20.545824636684802))",109275.92473142462
19,Station4,2025-02-12T11:57:40Z,2025-02-12T12:05:30Z,"(np.float64(20.246158305129136), np.float64(21.57005631048112), np.float64(22.965940323142373), np.float64(24.440784894782645), np.float64(26.00233115264733), np.float64(27.65915504468481), np.float64(29.420729174453264), np.float64(31.297470171766165), np.float64(33.300759438931856), np.float64(35.44291936702916), np.float64(37.737119244770334), np.float64(40.19717455733172), np.float64(42.83718965850373), np.float64(45.67097632553522), np.float64(48.71115846317533), np.float64(51.96784308194117), np.float64(55.44668870642965), np.float64(59.1460981011575), np.float64(63.052985253276454), np.float64(67.13573530374943), np.float64(71.33027312724438), np.float64(75.50559439292631), np.float64(79.35921701103045), np.float64(82.09827902175608), np.float64(82.24104198739477), np.float64(79.67193763826573), np.float64(75.87073905558269), np.float64(71.70092805752779), np.float64(67.4922819116091), np.float64(63.38585841600801), np.float64(59.45040487298532), np.float64(55.720192843140225), np.float64(52.20999094940363), np.float64(48.92249416048158), np.float64(45.85274405926942), np.float64(42.99105106675728), np.float64(40.32500786885044), np.float64(37.840879860023946), np.float64(35.52454658833093), np.float64(33.36211719493737), np.float64(31.34031211735668), np.float64(29.446680755939667), np.float64(27.669706992312832), np.float64(25.99884037843034), np.float64(24.424479950184477), np.float64(22.93792945365669), np.float64(21.531336787030128), np.float64(20.197626170242806))",954260.309362741
